Name;B1;B11;B12;B2;B3;B4;B5;B6;B7;B8;B8A;B9;real;ppn;svm;tree;lr;forest;knn;ac;k_means
pin_791;0.0248;0.4248;0.3278;0.0278;0.0407;0.082;0.1027;0.1233;0.151;0.1872;0.2025;0.2018;6;6;6;6;6;6;6;6;6
pin_453;0.0191;0.1454;0.0653;0.0176;0.0497;0.021;0.0913;0.2565;0.2844;0.319;0.3165;0.3197;4;4;4;4;4;4;4;4;4
pin_199;0.0096;0.0049;0.005;0.0064;0.0066;0.0056;0.0055;0.0039;0.0046;0.0042;0.0039;0.0069;2;2;2;2;2;2;2;10;10
pin_937;0.0511;0.0963;0.0901;0.0626;0.0639;0.0735;0.0785;0.0785;0.0801;0.0916;0.0811;0.1019;7;6;7;7;7;7;7;3;7
pin_831;0.0233;0.4061;0.3155;0.0276;0.0405;0.0783;0.0982;0.1202;0.1438;0.183;0.1907;0.1978;6;6;6;6;6;6;6;6;6
pin_142;0.1092;0.2965;0.2298;0.1072;0.1322;0.156;0.1871;0.2347;0.2512;0.2676;0.2699;0.2538;1;1;1;1;1;1;1;1;5
pin_795;0.0248;0.4308;0.3293;0.0283;0.044;0.0835;0.105;0.125;0.153;0.1864;0.2034;0.2018;6;6;6;6;6;6;6;6;6
pin_948;0.0511;0.0963;0.0901;0.0651;0.0743;0.0827;0.0785;0.0785;0.0801;0.0968;0.0811;0.1019;7;6;7;7;7;7;7;3;7
pin_1000;0.0554;0.1243;0.0975;0.0341;0.0356;0.0385;0.0837;0.1555;0.1547;0.0799;0.1526;0.1899;7;7;7;7;7;7;7;3;3
pin_642;0.0603;0.2815;0.263;0.1004;0.1388;0.1834;0.204;0.2507;0.2679;0.3002;0.2798;0.2603;5;5;5;5;5;5;5;5;5
pin_432;0.026;0.1308;0.0769;0.0199;0.0377;0.0303;0.0718;0.1401;0.1587;0.1696;0.1778;0.178;3;3;3;3;3;3;3;3;3
pin_53;0.1395;0.2348;0.2274;0.1252;0.1428;0.1716;0.1994;0.1986;0.1986;0.1908;0.2007;0.2411;1;1;1;1;1;1;1;1;1
pin_203;0.0093;0.005;0.0033;0.0072;0.006;0.0056;0.0052;0.003;0.0042;0.0031;0.0036;0.0031;2;2;2;2;2;2;2;10;10
